Behavior_type,Procedure,Metric,Session_length,Interval_length,Case_pseudonym,Session_number,Phase,Condition,Outcome,Direction,N_intervals
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,6,A1,A,35.44849197,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,7,A1,A,29.65791879,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,8,A1,A,3.584018801,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,9,B1,B,5.855855856,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,10,B1,B,4.504504505,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,11,B1,B,5.855855856,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,12,B1,B,7.207207207,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,13,B1,B,8.108108108,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,14,B1,B,14.41441441,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,15,B1,B,6.756756757,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,16,B1,B,10.81081081,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,17,B1,B,2.702702703,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,18,B1,B,9.009009009,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,19,B1,B,6.756756757,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,20,B1,B,3.603603604,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,21,B1,B,7.657657658,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,22,B1,B,9.90990991,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,23,A2,A,11.36363636,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,24,A2,A,25,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,25,A2,A,28.18181818,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,26,B2,B,6.788931789,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,27,B2,B,6.853281853,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,28,B2,B,2.421171171,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,29,B2,B,6.998069498,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,30,B2,B,3.008365508,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,1,A1,A,23.45807346,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,2,A1,A,44.67544468,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,3,A1,A,49.67659968,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,4,A1,A,17.74659275,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,5,A1,A,25.45622546,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,6,A1,A,16.94964195,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,7,A1,A,32.31115731,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,8,A1,A,31.01755602,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,9,A1,A,22.4994225,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,10,B1,B,10.61946903,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,11,B1,B,7.522123894,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,12,B1,B,1.327433628,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,13,B1,B,3.097345133,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,14,B1,B,4.867256637,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,15,B1,B,9.292035398,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,16,B1,B,5.752212389,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,17,B1,B,3.982300885,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,18,B1,B,5.752212389,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,19,B1,B,0.884955752,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,20,B1,B,6.637168142,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,21,B1,B,4.867256637,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,22,B1,B,1.327433628,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,23,A2,A,5.855855856,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,24,A2,A,23.42342342,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,25,A2,A,20.72072072,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,26,B2,B,2.702702703,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,27,B2,B,1.351351351,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,28,B2,B,7.657657658,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,29,B2,B,1.351351351,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,30,B2,B,18.46846847,decrease,
Disruptive Behavior,Event counting,Natural Count,10,N/A,Albert,31,B2,B,5.855855856,decrease,
On Task Behavior,MTS,Percentage,10,30,Faith,1,A1,A,46.21848739,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,2,A1,A,30.25210084,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,3,A1,A,93.27731092,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,4,A1,A,96.63865546,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,5,A1,A,50.42016807,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,6,A1,A,99.15966387,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,7,A1,A,86.55462185,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,8,A1,A,54.62184874,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,9,A1,A,52.10084034,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,10,B1,B,96.63865546,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,11,B1,B,83.19327731,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,12,B1,B,96.63865546,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,13,B1,B,96.63865546,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,14,B1,B,96.63865546,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,15,B1,B,92.43697479,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,16,B1,B,94.95798319,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,17,B1,B,96.63865546,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,18,A2,A,96.69421488,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,19,A2,A,49.58677686,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,20,A2,A,68.59504132,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,21,B2,B,69.80108499,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,22,B2,B,98.46824806,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,23,B2,B,97.71300925,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,24,B2,B,98.62780555,increase,20
On Task Behavior,MTS,Percentage,10,30,Faith,25,B2,B,98.72354005,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,1,A1,A,71.78184735,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,2,A1,A,67.06322684,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,3,A1,A,61.51584013,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,4,A1,A,83.22416789,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,5,A1,A,98.54297554,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,6,A1,A,72.07592568,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,7,A1,A,61.07472263,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,8,A1,A,88.23686673,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,9,B1,B,96.46017699,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,10,B1,B,95.57522124,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,11,B1,B,82.30088496,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,12,B1,B,16.81415929,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,13,B1,B,94.69026549,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,14,B1,B,84.95575221,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,15,B1,B,59.2920354,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,16,B1,B,61.0619469,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,17,B1,B,20.3539823,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,18,B1,B,85.84070796,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,19,B1,B,97.34513274,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,20,B1,B,90.26548673,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,21,B1,B,97.34513274,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,22,B1,B,86.72566372,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,23,A2,A,25.22522523,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,24,A2,A,96.3963964,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,25,A2,A,3.603603604,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,26,B2,B,95.53571429,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,27,B2,B,97.32142857,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,28,B2,B,96.42857143,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,29,B2,B,91.96428571,increase,20
On Task Behavior,MTS,Percentage,10,30,Lilly,30,B2,B,97.32142857,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,1,A1,A,21.81818182,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,2,A1,A,54.54545455,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,3,A1,A,55.45454545,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,4,A1,A,98.18181818,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,5,A1,A,19.09090909,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,6,A1,A,100,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,7,A1,A,71.81818182,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,8,A1,A,59.09090909,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,9,A1,A,58.18181818,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,10,B1,B,97.2972973,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,11,B1,B,94.59459459,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,12,B1,B,93.69369369,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,13,B1,B,96.3963964,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,14,B1,B,50.45045045,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,15,B1,B,97.2972973,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,16,B1,B,87.38738739,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,17,B1,B,97.2972973,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,18,B1,B,97.2972973,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,19,B1,B,96.3963964,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,20,B1,B,96.3963964,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,21,B1,B,96.3963964,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,22,B1,B,97.2972973,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,23,A2,A,98.18181818,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,24,A2,A,98.18181818,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,25,A2,A,68.18181818,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,26,B2,B,98.26371826,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,27,B2,B,97.49385749,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,28,B2,B,93.12039312,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,29,B2,B,94.15233415,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,30,B2,B,80.8026208,increase,20
On Task Behavior,MTS,Percentage,10,30,Albert,31,B2,B,97.13349713,increase,20
